date,trial_id,sample_id,start_time,mass_pre,mass_post,disc1_pre,disc2_pre,pre_combustion,ignition_delay,flame_duration,smoke_duration,flame_height,disc1_post,disc2_post,vol_burned,self_ignition,self_ig_start,max_temp,notes
5/17/23,3,DK01,12:52:00,0.493,0.0438,141.5,140.2,yes,5,26,35,8,135,,2,0,,,"forget to measure the disc2 post, I pointed the blow torch to where there was precombustion and I removed this sample  before smoke disappeared."
5/17/23,2,DK02,12:44:00,0.1105,0.0852,144.9,144,yes,4,32,10,10,150,,10,0,,,forget to measure the disc2 post
5/17/23,1,DK03,12:36:00,0.0958,0.0686,148.5,145,no,2,2,0,7,149,148.1,2,0,,149,NA
5/18/23,4,DK04,13:11:00,0.5055,0.0858,154.1,144.3,yes,8,8,346,34,228.7,219.1,90,0,,228.7,ignited during post combustion
5/18/23,6,DK05,13:46:00,0.103,0.0763,148.8,141.9,yes,2,30,68,17,154.9,156,45,0,,156,NA
5/18/23,8,DK06,14:09:00,0.0699,0.058,149.3,136.1,no,10,2,48,5,148.1,138.6,2,0,,148.1,NA
5/18/23,5,DK07,13:27:00,0.7076,0.1024,152.2,141.9,yes,23,317,300,38,271,243.1,82,0,,271,NA
5/18/23,7,DK08,13:56:00,0.1077,0.0627,155.4,142.4,yes,2,69,42,21,155.8,156.5,60,0,,156.5,NA
5/18/23,9,DK09,14:19:00,0.0572,0.0464,143.1,143.6,no,2,2,65,4,153,144.8,2,0,,153,NA
5/19/23,11,DK10,13:15:00,0.682,0.137,145.1,146.6,yes,12,267,526,37,,,85,0,,,forget to measure the post discs temp
5/19/23,13,DK11,13:56:00,0.148,0.099,147.9,148.3,yes,2,32,89,31,155.1,192.1,60,0,,155.1,NA
5/18/23,10,DK12,14:26:00,0.051,0.0351,154.2,143.6,yes,1,6,93,5,154,126.4,3,0,,154,NA
5/19/23,12,DK13,13:38:00,0.5,0.0357,142.4,145,yes,18,382,320,44,258.2,225.1,92,0,,258.2,NA
5/19/23,14,DK14,14:05:00,0.108,0.084,145.5,149.4,yes,2,49,119,25,146.8,163.2,30,0,,163.2,NA
5/19/23,15,DK15,14:12:00,0.14,0.124,142.5,145.4,no,4,12,49,3,131.1,132.1,3,0,,132.1,NA
5/20/23,18,DK16,17:26:00,0.446,0.106,148.7,147.7,yes,8,132,720,39,273,330.3,70,0,,330.3,NA
5/20/23,19,DK17,17:49:00,0.142,0.121,152.4,143.9,yes,2,17,123,17,156,157.3,40,0,,157.3,NA
5/20/23,20,DK18,18:00:00,0.252,0.214,144.8,147.9,yes,7,14,115,14,155.4,141.8,8,0,,155.4,NA
5/19/23,16,PHTR1,14:19:00,0.051,0.041,144.5,145.2,yes,3,9,70,14,143.7,145.2,5,0,,145.2,NA
5/19/23,17,PRGL21,14:25:00,0.102,0.067,144.7,152.1,yes,1,45,84,33,168.2,178.7,75,0,,178.7,NA
5/24/23,21,DK19,12:53:00,1.038,0.786,141.7,147.5,yes,27,25,600,14,189,101.9,5,0,,189,more than 600
5/24/23,22,DK20,13:11:00,0.147,0.096,139.9,148.8,yes,1,23,136,33,160,196.9,60,0,,196.6,NA
5/25/23,38,DK21,14:01:00,0.029,0.025,143.6,144.9,yes,2,2,26,4,137.4,144.1,3,0,,144.1,NA
5/24/23,23,DK22,13:21:00,0.543,0.113,150.3,145,yes,40,312,84,37,236.8,258.5,80,0,,258.5,NA
5/24/23,24,DK23,13:37:00,0.382,0.251,140.5,140.3,yes,1,31,498,48,170,201.6,55,0,,201.6,NA
5/24/23,25,DK24,13:53:00,0.063,0.042,146.7,141.8,yes,4,1,35,6,142.1,139,3,0,,142.1,NA
5/24/23,26,DK25,14:00:00,0.531,0.107,142.2,144.3,no,23,317,300,29,244.7,255.6,90,0,,255.6,NA
5/25/23,36,DK26,13:51:00,0.247,0.168,155,146.5,yes,2,30,238,29,203,207.8,55,0,,207.8,NA
5/24/23,27,DK27,14:16:00,0.229,0.201,150,142.1,no,4,2,94,5,152,135.4,8,0,,152,NA
5/24/23,28,DK28,14:26:00,0.496,0.108,145.4,142.1,yes,17,180,137,43,310.5,331.2,85,0,,331.2,NA
5/24/23,33,DK29,16:02:00,0.151,0.087,140.3,139,yes,4,36,20,25,157.4,138.8,40,0,,157.4,NA
5/24/23,29,DK30,14:39:00,0.062,0.042,146.2,143.5,no,2,9,89,18,151.3,146.5,10,0,,151.3,NA
5/24/23,30,DK31,15:26:00,0.663,0.402,146.3,135.3,yes,55,10,600,7,128.4,137.8,5,0,,137.8,more than 600
5/25/23,37,DK32,13:42:00,0.211,0.168,154.7,141.6,yes,3,32,105,24,153.6,162,20,0,,162,NA
5/24/23,31,DK33,15:41:00,0.175,0.136,152.2,151.6,no,4,2,95,5,152.6,141.7,3,0,,152.6,NA
5/24/23,32,DK34,15:49:00,0.524,0.097,144.3,143.2,yes,16,177,180,48,370.8,309.5,85,0,,370.8,NA
5/24/23,34,DK35,16:10:00,0.183,0.137,145.3,135.1,yes,2,44,48,25,165.6,194,50,0,,194,NA
