sample_id,spcode,temp,rh,wind_speed
JDK11,JUPI,95.1,27.3,5.6
JDK12,JUPI,103.4,26,2.3
JDK13,JUPI,96.9,25.4,1.2
JDK14,JUPI,97.1,22.2,1.6
JDK15,JUPI,96.1,25.2,1.9
JDK16,JUPI,96.2,37.4,1.9
JDK17,JUPI,97.4,23.7,2.5
JDK18,JUPI,91.5,26.7,1.5
JDK19,JUPI,95.7,23.2,1
JDK20,JUPI,96,20.2,1.5
DK73,JUPI,105.2,17.5,2.5
DK74,PRGL2,120.4,14.3,1.3
DK75,RHTR,105.9,20.1,1.4
DK76,JUPI,101,25.8,1.1
DK77,PRGL2,96.7,20,1.4
DK78,RHTR,95.6,25.8,2.6
DK79,JUPI,96.5,15.9,0.8
DK80,PRGL2,102.9,13.1,2.8
DK81,RHTR,105.3,10.5,0.9
DK82,JUPI,95.4,19.3,2.3
DK83,PRGL2,95.9,19.3,2.7
DK84,RHTR,96.2,16.4,2.9
DK86,PRGL2,105,10.2,0.9
DK87,RHTR,96.4,21.4,1.6
DK88,JUPI,109.6,17.9,1.4
DK89,PRGL2,99.7,21.4,0
DK90,RHTR,107.8,14.4,0.9
JDK21,JUPI,108.6,9.9,2.4
JDK22,JUPI,116.8,11.3,1.7
JDK23,JUPI,103.4,13.1,1.4
JDK24,JUPI,107.7,8,2.9
JDK25,JUPI,102.3,11.4,1.7
JDK26,JUPI,98.5,10.5,2.2
JDK27,JUPI,97.1,23.6,1.4
JDK28,JUPI,97.9,19,1.1
JDK29,JUPI,101.5,21.1,0
JDK30,JUPI,99.6,18.2,1.1
DK91,JUPI,102.2,28.8,0
DK92,PRGL2,100,22.2,0.7
DK93,RHTR,99.6,22,0
DK94,JUPI,92.5,40.6,3.1
DK95,PRGL2,119.7,21,0.7
DK97,JUPI,100.1,22.2,1.1
DK98,PRGL2,102.6,21,1.1
DK99,RHTR,92.5,38,0
DK100,JUPI,109.3,21.3,1.4
DK101,PRGL2,98.5,32.3,1.7
DK102,RHTR,93.2,36.1,0.9
DK103,JUPI,109.7,15.5,1.6
DK104,PRGL2,100.7,20.9,1
DK105,RHTR,94.5,21.6,3.2
DK106,JUPI,101.5,32.9,1.1
DK107,PRGL2,125.3,16.7,0
DK108,RHTR,116.4,17.9,0
JDK31,JUPI,113.2,21.4,0.8
JDK32,JUPI,104.6,21.3,0
JDK33,JUPI,101.2,20.7,0.8
JDK34,JUPI,98.5,22.5,1.4
JDK35,JUPI,95,13.6,1.9
JDK36,JUPI,96.9,20.7,2.2
JDK37,JUPI,95,28.7,2
JDK38,JUPI,97.7,12.3,3.2
JDK39,JUPI,103.8,23.3,0.9
JDK40,JUPI,101.8,33,1.3
FT01,JUPI,66.2,66.3,0.8
FT02,JUPI,70.3,65.8,0.8
FT03,JUPI,65.8,67.3,0.8
FT04,JUPI,64.8,73.1,1
FT05,JUPI,65.3,69.9,1
FT06,JUPI,69.5,65.2,1.6
FT07,JUPI,67.4,61.6,1.1
FT08,RHTR,70,60.2,2.8
FT09,RHTR,68.5,71,2
FT10,RHTR,63.1,70.3,1.7
FT11,RHTR,66.3,68,1.7
FT12,RHTR,68.3,64.8,0.8
FT13,RHTR,65.3,63.8,0
FT14,RHTR,64,70.9,1
FT15,PRGL2,65.8,68.3,1.2
FT16,PRGL2,68.2,62.1,1.2
FT17,PRGL2,68.8,67.6,1.1
FT18,PRGL2,68,60.7,1
FT19,PRGL2,65,68.8,0.9
FT20,PRGL2,67.5,61.3,1.1
FT21,PRGL2,63.3,69.1,0.8
FT22,PRAN3,66.4,64.3,0.6
FT23,PRAN3,70.3,60.1,0.9
FT24,PRAN3,61.2,64.4,0.8
