,sample_id,disc1_pre,disc2_pre,disc1_post,disc2_post,max_temp,ignition_delay,fresh_mass,dry_mass,wp,spcode
1,FOPU2CO07,152.5,142.6,149.6,131.4,150,1,0.6691,0.3104,-0.29,FOPU2
2,FOPU2CO09,152,138.5,150.7,143.2,150.7,1,0.8224,0.4264,-0.59,FOPU2
3,FOPU2CO08,149.6,146.7,146,128.1,151.1,1,0.9082,0.4319,-0.62,FOPU2
4,FOPU2CO06,137.6,138.4,127.1,135.4,149,1,0.4763,0.2457,-1.54,FOPU2
5,FOPU2CO04,130.1,135.9,123.9,137.8,137.8,1,0.4228,0.2117,-2.1,FOPU2
6,FOPU2CO59,134.8,134.4,104,112.6,112.6,1,1.0177,0.4911,-2.28,FOPU2
7,FOPU2CO15,147.8,152.7,138.5,135.7,139.9,1,0.7257,0.3458,-2.42,FOPU2
8,FOPU2CO13,152.6,139.9,157.4,149.3,159.7,1,0.6189,0.3318,-2.68,FOPU2
9,FOPU2CO05,150.7,140.9,152.2,149,153.3,1,0.4731,0.2356,-3.2,FOPU2
10,FOPU2CO12,151.1,132.3,154.6,134.4,154.6,2,0.6104,0.3381,-3.54,FOPU2
11,FOPU2CO10,149.7,136.9,152.8,119.7,157.4,1,0.466,0.2584,-3.55,FOPU2
12,FOPU2CO11,149.4,135.5,143.5,133.3,143.5,1,1.1357,0.6409,-3.87,FOPU2
13,FOPU2CO58,134.9,146.8,122.3,126.5,128.5,1,0.9937,0.5476,-3.95,FOPU2
14,FOPU2CO57,137.9,138.8,115.4,133.1,133.1,1,0.5768,0.324,-3.97,FOPU2
15,FOPU2CO62,149.2,151,137.3,143.4,152.3,1,0.5142,0.2623,-4,FOPU2
16,FOPU2CO60,139.9,135.4,137.6,145,145,1,0.5449,0.2652,-4.2,FOPU2
17,FOPU2CO61,136.5,132.2,119.7,128.1,128.1,1,0.7547,0.4331,-4.25,FOPU2
18,FOPU2CO14,132,143.1,147.8,148.3,148.3,1,0.4956,0.2932,-4.84,FOPU2
19,FOPU2CO64,132.4,133,115,123.5,137.5,1,1.152,0.6162,-4.88,FOPU2
20,FOPU2CO56,146.4,140.9,138.1,142.6,156.8,1,0.9044,0.6528,-7.5,FOPU2
21,FOPU2CO63,141.1,146.3,139.7,152,179.4,1,1.0563,0.7845,-7.5,FOPU2
22,FOPU2CO55,132.7,137.1,133.3,135.6,143,1,0.4885,0.3422,-7.54,FOPU2
23,QUFUCO34,134.7,137.6,128.5,126.1,128.5,3,0.559,0.2801,-0.12,QUFU
24,QUFUCO26,141.4,131.2,126.7,127.5,127.5,2,0.8191,0.4265,-0.15,QUFU
25,QUFUCO28,145.8,136.5,134.9,120.5,134.9,2,0.9278,0.4713,-0.19,QUFU
26,QUFUCO24,138.6,130.4,138.1,126.9,160.1,2,1.1562,0.6161,-0.26,QUFU
27,QUFUCO25,149.7,136.2,139.3,129.4,155.1,4,0.4724,0.2655,-1.82,QUFU
28,QUFUCO23,150.1,149.3,140.3,138.5,140.3,3,0.7874,0.423,-2.06,QUFU
29,QUFUCO27,148.9,135.4,144.9,145,150.2,1,0.9339,0.4924,-2.17,QUFU
30,QUFUCO22,133.7,131.1,131.5,129.1,131.5,1,0.8598,0.4512,-2.54,QUFU
31,QUFUCO21,145.5,137,141.4,137.7,141.4,1,1.4448,0.7767,-2.63,QUFU
32,QUFUCO35,149.9,133.8,145.3,117.9,145.3,1,1.1191,0.612,-3.03,QUFU
33,QUFUMI13,133.1,147,111.6,135.4,164.7,3,0.697,0.4987,-7,QUFU
34,QUFUMI11,133.4,142.6,115.4,105.3,123,4,0.3986,0.2813,-7.32,QUFU
35,QUFUMI12,134.9,134.7,129.3,111.9,154.6,2,0.6833,0.4989,-7.8,QUFU
36,QUFUMI10,135,132.9,123.8,119.7,154,3,0.491,0.3499,-8.88,QUFU
37,QUMA3BR19,151.5,150.5,129.3,109,135,1,1.75,0.9265,-1.09,QUMA3
38,QUMA3BR01,134.2,140.1,133,133.4,142,2,2.24,1.14,-2.9,QUMA3
39,QUMA3BR03,148.6,152.2,169.5,165.3,236,3,3.71,1.8,-0.22,QUMA3
40,QUMA3BR13,137.5,137.3,185.2,173.6,492,2,1.33,0.6858,-2.41,QUMA3
41,QUMA3BR08,131.5,132.4,129.3,117.4,132,2,1.82,0.9192,-2.33,QUMA3
42,QUMA3BR10,152.7,152.6,142,134.5,150,2,2.21,1.121,-1.99,QUMA3
43,QUMA3BR07,158.8,145.4,130.1,142.5,155.2,2,1.26,0.63,-0.38,QUMA3
