spcode,sample_id,rh,temperature,wind_speed,mass_pre,mass_post,notes
JUPI,DK01,52.9,81.6,1.2,0.493,0.0438,
PRGL2,DK02,50.7,83.3,1.3,0.1105,0.0852,
PHTR,DK03,51.3,80.6,1,0.0958,0.0686,
JUPI,DK04,47.8,85.3,1,0.5055,0.0858,
PRGL2,DK05,30.3,97.7,1.1,0.103,0.0763,
PHTR,DK06,26.8,99.1,2.3,0.0699,0.058,
JUPI,DK07,49.4,98.5,1.4,0.7076,0.1024,
PRGL2,DK08,27,101.5,0,0.1077,0.0627,
PHTR,DK09,37.7,91.7,2.6,0.0572,0.0464,
JUPI,DK10,46.2,82.8,1.8,0.682,0.137,
PRGL2,DK11,28.4,94.4,1.8,0.148,0.099,
PHTR,DK12,29.7,86.3,5.8,0.051,0.0351,
JUPI,DK13,28,94.1,0.8,0.5,0.0357,
PRGL2,DK14,25.3,100.4,1.3,0.108,0.084,
PHTR,DK15,25.7,100.2,0.8,0.14,0.124,
JUPI,DK16,19.6,95.8,0.8,0.446,0.106,
PRGL2,DK17,19.7,95.1,0,0.142,0.121,
PHTR,DK18,24.1,91.4,1.2,0.0252,0.214,
PHTR,PHTR1,32.9,97.8,0,0.051,0.041,
PRGL2,PRGL21,24.7,105.3,0,0.102,0.067,
JUPI,DK19,51.7,84.4,1.1,1.038,0.786,
PRGL2,DK20,40.5,88.3,1,0.147,0.096,
PHTR,DK21,41.6,82.3,3.1,0.029,0.025,
JUPI,DK22,33.6,88.7,4.7,0.543,0.113,
PRGL2,DK23,49.7,80.2,1.2,0.382,0.251,
PHTR,DK24,41.7,87,0.8,0.063,0.042,
JUPI,DK25,37.6,87.3,3.9,0.531,0.107,
PRGL2,DK26,36,93.4,3.3,0.247,1.168,
PHTR,DK27,35.3,91.1,1.1,0.229,0.201,
JUPI,DK28,33.1,93.2,1.1,0.496,0.108,
PRGL2,DK29,33.3,107.8,1,0.151,0.087,
PHTR,DK30,30.9,93.8,0.9,0.062,0.042,
JUPI,DK31,32.2,99.6,1.3,0.663,0.402,
PRGL2,DK32,46.3,84.5,0,0.211,0.168,
PHTR,DK33,26.7,102.8,1.6,0.175,0.136,
JUPI,DK34,31.9,101.8,1.7,0.524,0.097,
PRGL2,DK35,29.2,105.5,0,0.183,0.137,
PHTR,DK36,26.3,100,1.3,0.112,0.106,
