spcode,sample_id,trial_id,wp,removal_time,removal_date,measuring_time,measuring_date,notes
JUPI,DK37,39,0.1,10:50,5/27/23,11:00,5/27/23,
PRGL2,DK38,43,2.3,7:15,5/27/23,10:59,5/27/23,
RHTR,DK39,40,2.9,3:30,5/27/23,10:52,5/27/23,
JUPI,DK40,49,4.2,13:00,5/27/23,11:15,5/28/23,
PRGL2,DK41,50,5.3,4:15,5/27/23,11:19,5/28/23,
RHTR,DK42,41,0.2,10:50,5/27/23,10:54,5/27/23,
JUPI,DK43,44,1.7,6:00,5/27/23,11:02,5/27/23,
PRGL2,DK44,42,3.2,1:00,5/27/23,10:56,5/27/23,
RHTR,DK45,51,3.5,13:30,5/27/23,11:21,5/28/23,
JUPI,DK46,58,4.6,1:00,5/28/23,11:00,5/29/23,
PRGL2,DK47,45,0.3,11:00,5/27/23,11:06,5/27/23,
RHTR,DK48,48,1.7,8:00,5/27/23,11:14,5/27/23,
JUPI,DK49,46,2.2,6:00,5/27/23,11:08,5/27/23,
PRGL2,DK50,47,4.7,1:00,5/27/23,11:12,5/27/23,
RHTR,DK51,59,0,11:00,5/29/23,11:02,5/29/23,
JUPI,DK52,61,7.1,11:00,5/27/23,11:06,5/29/23,
PRGL2,DK53,62,8.2,11:05,5/27/23,11:08,5/29/23,didn't observe any water bubble even at minus 8.2 
RHTR,DK54,60,4.8,11:00,5/27/23,11:04,5/29/23,
JUPI,JDK01,54,0.2,12:15,5/28/23,12:29,5/28/23,
JUPI,JDK02,55,0.1,12:30,5/28/23,12:30,5/28/23,
JUPI,JDK03,56,2.2,12:30,5/28/23,12:33,5/28/23,
JUPI,JDK04,57,2,12:30,5/28/23,12:35,5/28/23,
JUPI,JDK05,52,2.9,20:15,5/27/23,12:24,5/28/23,
JUPI,JDK06,53,2.8,20:30,5/27/23,12:27,5/28/23,
JUPI,JDK07,63,4.8,11:30,5/28/23,13:16,5/29/23,
JUPI,JDK08,64,4.6,11:45,5/28/23,13:18,5/29/23,
JUPI,JDK09,65,4.4,5:00,5/28/23,13:20,5/29/23,
JUPI,JDK10,66,4.7,5:15,5/28/23,13:22,5/29/23,
JUPI,DK55,67,0.3,13:15,6/8/23,13:18,6/8/23,
PRGL2,DK56,68,2.1,09:30,6/8/23,13:22,6/8/23,
RHTR,DK57,69,2.9,6:45,6/8/23,13:25,6/8/23,
JUPI,DK58,70,3.5,16:00,6/7/23,13:28,6/8/23,
PRGL2,DK59,80,7.2,7:45,6/8/23,13:31,6/9/23,didn't observe any water bubble even at minus 7.2 
RHTR,DK60,71,0,14:15,6/8/23,13:30,6/8/23,
JUPI,DK61,72,1.4,10:30,6/8/23,13:31,6/8/23,
PRGL2,DK62,73,4.7,4:45,6/8/23,13:40,6/8/23,
RHTR,DK63,81,0,19:45,6/8/23,13:33,6/9/23,
JUPI,DK64,91,5.2,8:00,6/8/23,16:11,6/9/23,
PRGL2,DK65,74,0.7,15:00,6/8/23,13:41,6/8/23,
RHTR,DK66,75,1.3,12:30,6/8/23,13:45,6/8/23,
JUPI,DK67,76,2.3,10:45,6/8/23,13:46,6/8/23,
PRGL2,DK68,77,4.8,6:00,6/8/23,13:51,6/8/23,
RHTR,DK69,82,0,18:00,6/8/23,13:36,6/9/23,
JUPI,DK70,92,5.3,18:15,6/7/23,16:14,6/9/23,
PRGL2,DK71,93,7.2,18:30,6/7/23,16:16,6/9/23,didn't observe any water bubble even at minus 7.2 
RHTR,DK72,94,6.8,18:45,6/7/23,16:18,6/9/23,
JUPI,JDK11,78,0.5,15:15,6/8/23,13:52,6/8/23,
JUPI,JDK12,79,0.3,15:30,6/8/23,13:53,6/8/23,
JUPI,JDK13,83,0,8:45,6/9/23,13:37,6/9/23,
