date,sample_id,spcode,fresh_weight_saturated,fresh_weight,dry_weight,water_potential,
08/07/2024,RHTR2,RHTR,0.3722,0.3256,0.1663,2.78,
07/18/2024,SVT27,PRGL2,0.8755,0.8728,0.3998,0.2,
07/18/2024,SVT27,PRGL2,0.8755,0.8443,0.3998,0.64,
07/18/2024,SVT27,PRGL2,0.8755,0.8264,0.3998,1.04,
07/18/2024,SVT27,PRGL2,0.8755,0.8117,0.3998,1.5,
07/18/2024,SVT27,PRGL2,0.8755,0.8044,0.3998,1.76,
07/18/2024,SVT27,PRGL2,0.8755,0.801,0.3998,1.91,
07/18/2024,SVT27,PRGL2,0.8755,0.7913,0.3998,2.08,
07/18/2024,SVT27,PRGL2,0.8755,0.7803,0.3998,2.25,
07/18/2024,SVT27,PRGL2,0.8755,0.7757,0.3998,2.58,
07/18/2024,SVT27,PRGL2,0.8755,0.7656,0.3998,2.76,
08/06/2024,PRGL22,PRGL2,0.4402,0.4271,0.1757,0.1,
08/06/2024,PRGL22,PRGL2,0.4402,0.4181,0.1757,0.25,
