date,sample_id,spcode,fresh_weight_saturated,fresh_weight,dry_weight,water_potential,
05/01/2024,DK24,PRAN3,0.681,0.6225,0.2648,0.98,
05/01/2024,DK24,PRAN3,0.681,0.6165,0.2648,1.21,
05/01/2024,DK24,PRAN3,0.681,0.61,0.2648,1.46,
05/01/2024,DK24,PRAN3,0.681,0.6053,0.2648,1.68,
05/01/2024,DK24,PRAN3,0.681,0.5992,0.2648,1.85,
05/01/2024,DK24,PRAN3,0.681,0.5948,0.2648,2.07,
05/01/2024,DK24,PRAN3,0.681,0.5897,0.2648,2.19,
05/01/2024,DK24,PRAN3,0.681,0.5839,0.2648,2.32,
05/01/2024,DK24,PRAN3,0.681,0.5773,0.2648,2.54,  
05/01/2024,DK24,PRAN3,0.681,0.5646,0.2648,2.85,
05/01/2024,DK24,PRAN3,0.681,0.5539,0.2648,2.98,
05/03/2024,DK08,RHTR,0.3663,0.3552,0.1293,0.26,
05/03/2024,DK08,RHTR,0.3663,0.3418,0.1293,0.58,
05/03/2024,DK08,RHTR,0.3663,0.3353,0.1293,0.83,
05/03/2024,DK08,RHTR,0.3663,0.3296,0.1293,0.96,
05/03/2024,DK08,RHTR,0.3663,0.3243,0.1293,1.07,
05/03/2024,DK08,RHTR,0.3663,0.3179,0.1293,1.16,
05/03/2024,DK08,RHTR,0.3663,0.3103,0.1293,1.48,
05/03/2024,DK08,RHTR,0.3663,0.3045,0.1293,1.6,
05/03/2024,DK08,RHTR,0.3663,0.2988,0.1293,1.74,
05/03/2024,DK08,RHTR,0.3663,0.2928,0.1293,1.96,
05/03/2024,DK08,RHTR,0.3663,0.2856,0.1293,2.25,
05/03/2024,DK08,RHTR,0.3663,0.2786,0.1293,2.3,
05/03/2024,DK08,RHTR,0.3663,0.273,0.1293,2.46,
05/03/2024,DK08,RHTR,0.3663,0.2636,0.1293,2.75,
05/03/2024,DK08,RHTR,0.3663,0.2594,0.1293,3.01,
05/03/2024,DK09,RHTR,0.2752,0.2502,0.0764,0.25,
05/03/2024,DK09,RHTR,0.2752,0.2367,0.0764,0.52,
05/03/2024,DK09,RHTR,0.2752,0.2331,0.0764,0.79,
05/03/2024,DK09,RHTR,0.2752,0.2172,0.0764,1.31,
05/03/2024,DK09,RHTR,0.2752,0.2095,0.0764,1.96,
05/03/2024,DK09,RHTR,0.2752,0.2076,0.0764,2.05,
05/03/2024,DK09,RHTR,0.2752,0.2032,0.0764,2.09,
05/03/2024,DK09,RHTR,0.2752,0.1968,0.0764,2.35,
05/03/2024,DK09,RHTR,0.2752,0.191,0.0764,2.52,
05/03/2024,DK09,RHTR,0.2752,0.1861,0.0764,3.03,
05/17/2024,ST29,JUAS,0.6873,0.6757,0.3422,0.26,
