date,sample_id,trial_id,start_time,mass_pre,mass_post,disc1_pre,disc2_pre,pre_combustion,ignition_delay,flame_duration,flame_height,disc1_post,disc2_post,vol_burned,self_ignition,max_temp,self_ig_start,notes
06/18/24,FFT12,131,19:28,158.3,128.9,136.6,146.2,yes,1,15,16,135.9,141.6,15,0,135.7,,
06/18/24,FFT14,132,19:35,558.6,524.6,142.2,152.6,yes,4,12,10,103.3,105.4,5,0,105.4,,
06/18/24,FFT36,133,19:42,150.5,127.2,145.6,134.8,yes,2,5,10,117.3,135.3,5,0,135.3,,
06/18/24,FFT35,134,19:49,83.7,59.8,145.4,142.2,yes,2,2,6,127.1,131.7,3,0,131.7,,
06/18/24,FFT28,135,19:55,718.7,573.6,152.4,156.9,yes,63,55,17,121.2,134.5,15,0,134.5,,
06/18/24,FFT07,136,20:03,671.8,540.7,140.5,152.2,no,67,64,16,94.3,156.9,15,0,156.9,,
06/19/24,FFT22,137,18:05,291.2,221.6,139.3,138.5,yes,5,39,18,160.1,131.1,35,0,174.9,,
06/19/24,FFT20,138,18:13,323.3,202.1,151.2,144.9,yes,11,49,26,197.8,212.8,65,0,285.9,,
06/19/24,FFT21,139,18:20,198.7,163.4,142.5,140.7,no,17,16,15,123,121.5,12,0,123,,
06/19/24,FFT211,140,18:27,109.2,67.6,142.8,135,yes,5,38,17,129.5,126.7,15,0,126.7,,
06/19/24,FFT13,141,18:36,302,272.9,141.8,144.5,no,5,3,7,113.7,134.6,2,0,134.6,,
06/19/24,FFT10,142,18:42,230.5,213.1,139.6,141.4,yes,2,5,8,113.1,109.8,3,0,113.1,,
06/19/24,FFT11,143,18:48,185.2,170.8,140.2,134.9,no,3,4,9,124.1,105.1,2,0,124.1,,
06/19/24,FFT30,144,18:56,51.6,29.4,142.2,139.1,yes,1,20,18,146.3,151.6,40,0,173.8,,
06/19/24,FFT05,145,19:00,712.1,77.3,144.4,148.3,no,40,404,26,246.5,234.9,95,0,409,,
06/19/24,FFT02,146,19:15,551.2,171.4,138,137.4,no,43,370,24,209.5,249.7,70,0,261.8,,
06/19/24,FFT26,147,19:30,676,257.7,141.7,131.4,yes,55,315,32,228.2,222.9,90,0,259.4,,
06/19/24,FFT29,148,19:44,655.7,564.7,146.4,148.3,yes,72,21,18,107.5,104.8,6,0,107.5,,
6/20/24,FFT33,149,19:05,110.8,91.7,142.6,138.7,yes,2,3,6,142.7,139.6,2,0,142.7,,
6/20/24,FFT32,150,19:10,57.1,43.5,149.2,151.2,no,2,5,6,141.4,134.1,2,0,141.4,,
6/20/24,FFT31,151,19:15,69.5,60.2,140.8,140,no,1,2,6,132.6,129.1,3,0,132.6,,
6/20/24,FFT09,152,19:19,269.4,249.1,135.9,135,yes,1,17,14,120.5,130.9,7,0,130.9,,
6/20/24,FFT34,153,19:24,137.7,110.1,140.2,143.8,yes,2,16,16,142.9,144.4,15,0,144.4,,
6/20/24,FFT06,154,19:34,229.5,119,145.3,151.6,yes,15,135,26,145.9,201.3,40,0,212.7,,
6/20/24,FFT15,155,19:41,269.4,247.8,137.6,148.5,no,35,130,18,109.5,123.6,15,0,145.7,,
6/20/24,FFT03,156,19:54,560.8,448.2,137.7,138.4,no,92,93,14,84.2,89,10,0,89,,
6/20/24,FFT01,157,20:11,566.9,153.2,141.7,143.7,yes,16,314,32,266.9,322.2,80,0,386.4,,
6/20/24,FFT24,158,20:23,633.2,552,153.9,152.9,no,36,10,15,132.1,114.1,5,0,114.1,,
6/20/24,FFT27,159,20:30,750.4,550.2,141.3,142.1,yes,23,167,25,130.1,136,25,0,205.9,,
6/20/24,FFT23,160,20:41,432,117.5,150.7,156.4,yes,57,269,32,236.9,319.5,80,0,369,,
6/20/24,FFT25,161,20:53,704.7,536.9,146.3,141.7,no,85,45,18,136.3,119.9,10,0,136.3,,
07/03/24,SXT02,162,20:38,197.1,154,154.3,154.2,no,1,23,20,153.7,149.3,25,0,168.4,,
07/03/24,SXT05,163,20:46,211.9,187.9,147.2,147.8,yes,1,32,18,130.4,153.6,18,0,165.9,,
07/03/24,SXT01,164,20:55,191.8,183.6,149.4,143.3,no,1,9,13,133,130.5,4,0,130.7,,
07/03/24,SXT07,165,21:01,187.5,169.7,145,139.2,no,2,9,11,128,121.5,2,0,128,,
07/03/24,SXT11,166,21:07,148.2,126.8,147.7,135.1,no,3,36,14,144.7,130.5,15,0,144.7,,
07/03/24,SXT13,167,21:13,308.4,254.4,152.4,144.5,no,6,15,61,130.4,135.8,11,0,147,,
07/03/24,SXT10,168,21:19,316.3,125.8,151.8,146.8,no,6,89,30,222.5,312.2,90,0,433.3,,
07/03/24,SXT15,169,21:32,180.4,149,145.9,143.4,no,5,20,11,130.5,129.7,5,0,143.7,,
